orderId,TIMESTMP,status
"248971081","2023070400:00:01/862","UPLOADED"
"248857761","2023070400:00:30/513","UPLOADED"
"249035481","2023070400:01:00/473","UPLOADED"
"249025821","2023070400:02:00/921","UPLOADED"
"249063081","2023070400:02:00/938","UPLOADED"
"248898911","2023070400:02:31/423","UPLOADED"
"249224451","2023070400:03:00/771","UPLOADED"
"248981211","2023070400:04:00/709","UPLOADED"
"249110011","2023070400:04:00/732","UPLOADED"
"248857381","2023070400:04:31/318","UPLOADED"
"249125021","2023070400:04:31/337","UPLOADED"
"249346071","2023070400:04:31/355","UPLOADED"
"248960831","2023070400:05:00/256","UPLOADED"
"248960071","2023070400:06:00/428","UPLOADED"
"249452961","2023070400:06:00/447","UPLOADED"
"249125181","2023070400:06:30/662","UPLOADED"
"249176241","2023070400:06:30/709","UPLOADED"
"249457771","2023070400:06:30/777","UPLOADED"
"248572671","2023070400:07:30/303","UPLOADED"
"249434111","2023070400:08:00/337","UPLOADED"
"249059891","2023070400:08:30/584","UPLOADED"
"249462451","2023070400:08:30/632","UPLOADED"
"248376111","2023070400:09:00/979","UPLOADED"
"248572871","2023070400:09:31/075","UPLOADED"
"249094581","2023070400:09:31/094","UPLOADED"
"249130791","2023070400:09:31/131","UPLOADED"
"249135211","2023070400:09:31/183","UPLOADED"
"249176141","2023070400:09:31/209","UPLOADED"
"249183931","2023070400:09:31/231","UPLOADED"
"249358571","2023070400:10:00/181","UPLOADED"
"248580581","2023070400:10:30/365","UPLOADED"
"248855101","2023070400:10:30/412","UPLOADED"
"249310381","2023070400:10:30/432","UPLOADED"
"248950691","2023070400:11:00/728","UPLOADED"
"249083891","2023070400:11:00/756","UPLOADED"
"249231851","2023070400:11:00/774","UPLOADED"
"248583361","2023070400:11:30/686","UPLOADED"
"249121221","2023070400:11:30/709","UPLOADED"
"249172881","2023070400:11:30/728","UPLOADED"
"249461091","2023070400:11:30/756","UPLOADED"
"249340991","2023070400:12:00/975","UPLOADED"
"249359611","2023070400:12:01/006","UPLOADED"
"248405911","2023070400:12:01/049","UPLOADED"
"248474151","2023070400:12:30/256","UPLOADED"
"248864481","2023070400:12:30/274","UPLOADED"
"249060371","2023070400:12:30/303","UPLOADED"
"249092071","2023070400:12:30/320","UPLOADED"
"249324881","2023070400:12:30/350","UPLOADED"
"248652871","2023070400:13:00/429","UPLOADED"
"249060461","2023070400:13:00/446","UPLOADED"
"249119481","2023070400:13:00/463","UPLOADED"
"249127281","2023070400:13:00/480","UPLOADED"
"249127781","2023070400:13:00/497","UPLOADED"
"249309421","2023070400:13:00/514","UPLOADED"
"248884351","2023070400:13:30/537","UPLOADED"
"249116521","2023070400:13:30/569","UPLOADED"
"249252681","2023070400:13:30/585","UPLOADED"
"249274461","2023070400:13:30/615","UPLOADED"
"249309711","2023070400:13:30/647","UPLOADED"
"249417971","2023070400:13:30/678","UPLOADED"
"249056141","2023070400:14:00/588","UPLOADED"
"249081321","2023070400:14:00/616","UPLOADED"
"249194341","2023070400:14:00/647","UPLOADED"
"249359531","2023070400:14:00/678","UPLOADED"
"249052721","2023070400:14:31/178","UPLOADED"
"249166961","2023070400:14:31/209","UPLOADED"
"249285581","2023070400:14:31/241","UPLOADED"
"249450551","2023070400:14:31/272","UPLOADED"
"249464781","2023070400:14:31/289","UPLOADED"
"248823731","2023070400:15:01/350","UPLOADED"
"249060351","2023070400:15:01/381","UPLOADED"
"249061101","2023070400:15:01/398","UPLOADED"
"249172021","2023070400:15:01/415","UPLOADED"
"249337671","2023070400:15:01/432","UPLOADED"
"249124601","2023070400:16:00/616","UPLOADED"
"249179021","2023070400:16:00/647","UPLOADED"
"248459641","2023070400:16:30/905","UPLOADED"
"249085941","2023070400:16:30/944","UPLOADED"
"249140751","2023070400:16:31/054","UPLOADED"
"249272861","2023070400:16:31/088","UPLOADED"
"249303331","2023070400:16:31/122","UPLOADED"
"249336661","2023070400:16:31/163","UPLOADED"
"249459671","2023070400:16:31/256","UPLOADED"
"249108971","2023070400:17:01/178","UPLOADED"
"249162021","2023070400:17:01/198","UPLOADED"
"249176501","2023070400:17:01/225","UPLOADED"
"249252671","2023070400:17:01/256","UPLOADED"
"249342161","2023070400:17:01/287","UPLOADED"
"248593411","2023070400:17:30/272","UPLOADED"
"249061381","2023070400:17:30/303","UPLOADED"
"249130801","2023070400:17:30/334","UPLOADED"
"249183951","2023070400:17:30/366","UPLOADED"
"249344311","2023070400:17:30/396","UPLOADED"
"249359591","2023070400:17:30/428","UPLOADED"
"249057661","2023070400:18:00/395","UPLOADED"
"249031631","2023070400:18:30/671","UPLOADED"
"249051311","2023070400:18:30/692","UPLOADED"
"249078831","2023070400:18:30/708","UPLOADED"
"249085811","2023070400:18:30/725","UPLOADED"
"249123851","2023070400:18:30/756","UPLOADED"
"249182651","2023070400:18:30/786","UPLOADED"
"249233811","2023070400:18:30/803","UPLOADED"
"249110731","2023070400:19:00/944","UPLOADED"
"249363601","2023070400:19:00/975","UPLOADED"
"248699021","2023070400:19:30/381","UPLOADED"
"249061261","2023070400:19:30/427","UPLOADED"
"249091001","2023070400:19:30/443","UPLOADED"
"249099361","2023070400:19:30/477","UPLOADED"
"249161351","2023070400:19:30/511","UPLOADED"
"249244101","2023070400:19:30/538","UPLOADED"
"249259371","2023070400:19:30/599","UPLOADED"
"249339661","2023070400:19:30/647","UPLOADED"
"249416871","2023070400:19:30/678","UPLOADED"
"249166161","2023070400:20:00/616","UPLOADED"
"249345031","2023070400:20:00/678","UPLOADED"
"248560821","2023070400:20:30/900","UPLOADED"
"249060421","2023070400:20:30/917","UPLOADED"
"249215071","2023070400:20:31/006","UPLOADED"
"249238291","2023070400:20:31/053","UPLOADED"
"249273651","2023070400:20:31/087","UPLOADED"
"249362511","2023070400:20:31/121","UPLOADED"
