Order Line Id,Pick Id,Order,Sku,Prod,Create Time,Pick State,State Change Time,Qty,Tm,Du,Unique Ref,Pick Task,Pick Task - Create Time,Stock,Order - Priority Band,Location,Lot,Tm - Location - Id,Pick Type,Emergency,Order Line Placed Time,Abandon Requested,Cancel Requested,Pick State Before Abandon Or Cancel,Packing Instructions,Prod - Colour,Retail Price,Currency,Host Delivery Id,Abandon Reason,Abandon Note,Cancel Reason,Unpick Reason,Rsvn Type,Pick Tm Type,Alert Str,Hazardous,Priority Time,Pick Time,Loc Pick Seq,Ordered Sku - Size,Du Build Failed,Seen In Order Message,Op Rsvn Order Pass Complete,Pick Stock Expectation State,Order - Pick Qty,Ordered Sku - Perishable,Order - Vas,Order - Vip
="1",284727001-1-000001,="284727001",241482M21302106,241482M21302106,2024-03-23 02:20:48,RESERVED,2024-03-23 08:11:37,1,LS00135404,="0000169372",,PT-000380078,2024-03-24 16:42:04,="194187",URGENT,2E59E128,,2E59E128,PICK,false,,false,false,UNUSED,,BLACK/001,,,,,,,,NORMAL,LOOSE STOCK,Pick has a PSS Problem,false,2024-03-24 15:00:00,,940333,XXL,false,true,false,UNUSED,2,NO,NO,NO
="2",284727001-2-000002,="284727001",241161M21301400,241161M21301400,2024-03-23 02:20:48,RESERVED,2024-03-24 16:44:12,1,LS00223283,="0000169372",,PT-000380071,2024-03-24 16:40:58,="283508",URGENT,3R11C207,,3R11C207,PICK,false,,false,false,UNUSED,,Seal,,,,,,,,NORMAL,LOOSE STOCK,Pick has a PSS Problem,false,2024-03-24 15:00:00,1969-12-31 19:00:36,1519719,XXS,false,true,false,UNUSED,2,NO,NO,NO
="1",284638781-1-000001,="284638781",242232M22800003,242232M22800003,2024-03-22 06:30:53,RESERVED,2024-03-24 16:40:38,1,LS00173668,="0000163079",,PT-000380069,2024-03-24 16:40:06,="237315",URGENT,3H13B310,,3H13B310,PICK,false,,false,false,UNUSED,,009 BLACK,,,,,,,,NORMAL,LOOSE STOCK,,false,2024-03-23 18:00:00,,141371,="8",false,true,false,UNUSED,1,NO,NO,NO
="1",284734231-1-000001,="284734231",241161M21301400,241161M21301400,2024-03-23 06:36:50,RESERVED,2024-03-24 16:44:12,1,LS00223283,="0000169684",,PT-000380066,2024-03-24 16:39:31,="283508",URGENT,3R11C207,,3R11C207,PICK,false,,false,false,UNUSED,,Seal,,,,,,,,NORMAL,LOOSE STOCK,,false,2024-03-24 15:00:00,1969-12-31 19:00:36,1519719,XXS,false,true,false,UNUSED,1,NO,NO,NO
="1",284653911-1-000001,="284653911",241553M14001800,241553M14001800,2024-03-22 10:40:57,RESERVED,2024-03-24 16:15:54,1,LS00174329,="0000164320",,PT-000380068,2024-03-24 16:40:06,="219558",URGENT,3H20A302,,3H20A302,PICK,false,,false,false,UNUSED,,110 OFF-WHITE,,,,,,,,NORMAL,LOOSE STOCK,,false,2024-03-23 15:00:00,,141872,="56",false,true,false,UNUSED,1,NO,NO,NO
="1",284604051-1-000001,="284604051",242232M22800003,242232M22800003,2024-03-21 18:20:48,RESERVED,2024-03-24 16:40:38,1,LS00173668,="0000161900",,PT-000380069,2024-03-24 16:40:06,="237315",URGENT,3H13B310,,3H13B310,PICK,false,,false,false,UNUSED,,009 BLACK,,,,,,,,NORMAL,LOOSE STOCK,,false,2024-03-23 18:00:00,,141371,="8",false,true,false,UNUSED,1,NO,NO,NO
="1",284657631-1-000001,="284657631",241608F04900300,241608F04900300,2024-03-22 11:15:45,RESERVED,2024-03-24 16:15:24,1,LS00174328,="0000164877",,PT-000380068,2024-03-24 16:40:06,="219733",URGENT,3H20A301,,3H20A301,PICK,false,,false,false,UNUSED,,Dove,,,,,,,,NORMAL,LOOSE STOCK,,false,2024-03-23 15:00:00,,141871,UNI,false,true,false,UNUSED,1,NO,NO,NO
="1",284610801-1-000001,="284610801",241793F11100702,241793F11100702,2024-03-21 20:10:51,RESERVED,2024-03-24 16:39:24,1,LS00211302,="0000162101",,PT-000380066,2024-03-24 16:39:31,="229065",URGENT,3R09E205,,3R09E205,PICK,false,,false,false,UNUSED,,White,,,,,,,,NORMAL,LOOSE STOCK,,false,2024-03-23 17:00:00,1969-12-31 19:00:36,1519421,M,false,true,false,UNUSED,1,NO,NO,NO
="1",284613281-1-000001,="284613281",242232M22800003,242232M22800003,2024-03-21 20:50:54,RESERVED,2024-03-24 16:27:56,1,LS00173760,="0000162177",,PT-000380068,2024-03-24 16:40:06,="217568",URGENT,3H16A309,,3H16A309,PICK,false,,false,false,UNUSED,,009 BLACK,,,,,,,,NORMAL,LOOSE STOCK,,false,2024-03-23 15:00:00,,141528,="8",false,true,false,UNUSED,1,NO,NO,NO
="1",284615131-1-000001,="284615131",242232M22800003,242232M22800003,2024-03-21 21:20:53,RESERVED,2024-03-24 16:27:56,1,LS00173760,="0000162246",,PT-000380068,2024-03-24 16:40:06,="217568",URGENT,3H16A309,,3H16A309,PICK,false,,false,false,UNUSED,,009 BLACK,,,,,,,,NORMAL,LOOSE STOCK,,false,2024-03-23 15:00:00,,141528,="8",false,true,false,UNUSED,1,NO,NO,NO
