Order Line Id,Pick Id,Order,Sku,Prod,Create Time,Pick State,State Change Time,Qty,Tm,Du,Unique Ref,Pick Task,Pick Task - Create Time,Stock,Order - Priority Band,Location,Lot,Tm - Location - Id,Pick Type,Emergency,Order Line Placed Time,Abandon Requested,Cancel Requested,Pick State Before Abandon Or Cancel,Packing Instructions,Prod - Colour,Retail Price,Currency,Host Delivery Id,Abandon Reason,Abandon Note,Cancel Reason,Unpick Reason,Rsvn Type,Pick Tm Type,Alert Str,Hazardous,Priority Time,Pick Time,Loc Pick Seq,Ordered Sku - Size,Du Build Failed,Seen In Order Message,Op Rsvn Order Pass Complete,Pick Stock Expectation State,Order - Pick Qty,Ordered Sku - Perishable,Order - Vas,Order - Vip
="1","284795721-1-000001",="284795721",,"222161F06301002",2024-03-24 02:05:47,"RESERVED",2024-03-24 02:06:54,1,,="0000175214","",,,,"LOW","PA:FLATS",,,"PICK",false,,false,false,"UNUSED","","Canary",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 18:00:00,,,"S",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796031-1-000001",="284796031","241402M23718206","241402M23718206",2024-03-24 02:10:44,"RESERVED",2024-03-24 02:11:27,1,"LS00212812",="0000175221","","PT-000379436",2024-03-24 08:36:33,="375541","LOW","3H03A515",,"3H03A515","PICK",false,,false,false,"UNUSED","","WHITE",,"","","","","","","NORMAL","LOOSE STOCK","Pick has a PSS Problem",false,2024-03-25 15:00:00,1969-12-31 19:00:36,1412031,="10",false,true,false,"UNUSED",2,"NO","NO","NO"
="2","284796031-2-000002",="284796031","241402F12810604","241402F12810604",2024-03-24 02:10:44,"RESERVED",2024-03-24 02:11:28,1,"LS00215632",="0000175221","","PT-000379506",2024-03-24 09:23:31,="404243","LOW","3H16C824",,"3H16C824","PICK",false,,false,false,"UNUSED","","Mushroom/White",,"","","","","","","NORMAL","LOOSE STOCK","Pick has a PSS Problem",false,2024-03-25 15:00:00,,1425858,"US 7 Women",false,true,false,"UNUSED",2,"NO","NO","NO"
="1","284796211-1-000001",="284796211",,"232202F12201504",2024-03-24 02:10:48,"RESERVED",2024-03-24 02:11:30,1,,="0000175229","",,,,"LOW","PA:BOXED",,,"PICK",false,,false,false,"UNUSED","","EG89 Black + Gold",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 17:00:00,,,="39",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796001-1-000001",="284796001",,"241161M20202205",2024-03-24 02:10:48,"RESERVED",2024-03-24 02:11:30,1,,="0000175219","",,,,"LOW","PA:FLATS",,,"PICK",false,,false,false,"UNUSED","","Jet Black",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 15:00:00,,,"XL",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796291-1-000001",="284796291",,"241221M21200404",2024-03-24 02:10:49,"RESERVED",2024-03-24 02:11:30,1,,="0000175232","",,,,"LOW","PA:FLATS",,,"PICK",false,,false,false,"UNUSED","","611B BLACK",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 17:00:00,,,="52",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796451-1-000001",="284796451","232589F12000202","232589F12000202",2024-03-24 02:10:50,"RESERVED",2024-03-24 02:11:23,1,"LS00154036",="0000175238","","PT-000379522",2024-03-24 09:31:44,="232422","LOW","3H50C418",,"3H50C418","PICK",false,,false,false,"UNUSED","","590 Forest Green",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,,146949,="38",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796371-1-000001",="284796371",,"232307M23702702",2024-03-24 02:10:50,"RESERVED",2024-03-24 02:11:33,1,,="0000175235","",,,,"LOW","PA:BOXED",,,"PICK",false,,false,false,"UNUSED","","Cremino",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 15:00:00,,,="41",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796201-1-000001",="284796201","221161M19004504","221161M19004504",2024-03-24 02:10:51,"RESERVED",2024-03-24 02:11:29,1,"LS00167959",="0000175228","","PT-000379315",2024-03-23 17:42:10,="263729","LOW","3R18C125",,"3R18C125","PICK",false,,false,false,"UNUSED","","IRON",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 15:00:00,,158038,"L",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796151-1-000001",="284796151",,"232415F12506414",2024-03-24 02:10:51,"RESERVED",2024-03-24 02:11:23,1,,="0000175225","",,,,"LOW","PA:BOXED",,,"PICK",false,,false,false,"UNUSED","","White",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 15:00:00,,,="42",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796221-1-000001",="284796221",,"241161M20202205",2024-03-24 02:10:52,"RESERVED",2024-03-24 02:11:30,1,,="0000175230","",,,,"LOW","PA:FLATS",,,"PICK",false,,false,false,"UNUSED","","Jet Black",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 15:00:00,,,"XL",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796401-1-000001",="284796401",,"232417M21401202",2024-03-24 02:10:52,"RESERVED",2024-03-24 02:11:26,1,,="0000175237","",,,,"LOW","PA:FLATS",,,"PICK",false,,false,false,"UNUSED","","BLACK",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 18:00:00,,,"M",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796011-1-000001",="284796011",,"241168F11800205",2024-03-24 02:10:52,"RESERVED",2024-03-24 02:11:30,1,,="0000175220","",,,,"LOW","PA:BOXED",,,"PICK",false,,false,false,"UNUSED","","T8013",,"","","","","","","NORMAL","UNKNOWN","",false,2024-03-25 15:00:00,,,="37.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796281-1-000001",="284796281","231547M19101803","231547M19101803",2024-03-24 02:10:53,"RESERVED",2024-03-24 02:11:25,1,"LS00155697",="0000175231","","PT-000379488",2024-03-24 09:08:26,="243681","LOW","3R02I332",,"3R02I332","PICK",false,,false,false,"UNUSED","","BKX",,"","","","","","","NORMAL","LOOSE STOCK","Pick has a PSS Problem",false,2024-03-25 15:00:00,,1533148,"XL",false,true,false,"UNUSED",2,"NO","NO","NO"
="2","284796281-2-000002",="284796281","231547M19102303","231547M19102303",2024-03-24 02:10:53,"RESERVED",2024-03-24 02:11:25,1,"LS00204960",="0000175231","","PT-000379527",2024-03-24 09:32:02,="359976","LOW","3R26I407",,"3R26I407","PICK",false,,false,false,"UNUSED","","KHN",,"","","","","","","NORMAL","LOOSE STOCK","Pick has a PSS Problem",false,2024-03-25 15:00:00,1969-12-31 19:00:36,1565134,"XL",false,true,false,"UNUSED",2,"NO","NO","NO"
="1","284796101-1-000001",="284796101","241161F08601100","241161F08601100",2024-03-24 02:10:55,"RESERVED",2024-03-24 02:11:32,1,"LS00146408",="0000175224","","PT-000379424",2024-03-24 08:30:57,="211314","LOW","2E90J211",,"2E90J211","PICK",false,,false,false,"UNUSED","","Ink",,"","","","","","","NORMAL","LOOSE STOCK","Pick has a PSS Problem",false,2024-03-25 18:00:00,,961560,"XXS",false,true,false,"UNUSED",2,"NO","NO","NO"
