Order Line Id,Pick Id,Order,Sku,Prod,Create Time,Pick State,State Change Time,Qty,Tm,Du,Unique Ref,Pick Task,Pick Task - Create Time,Stock,Order - Priority Band,Location,Lot,Tm - Location - Id,Pick Type,Emergency,Order Line Placed Time,Abandon Requested,Cancel Requested,Pick State Before Abandon Or Cancel,Packing Instructions,Prod - Colour,Retail Price,Currency,Host Delivery Id,Abandon Reason,Abandon Note,Cancel Reason,Unpick Reason,Rsvn Type,Pick Tm Type,Alert Str,Hazardous,Priority Time,Pick Time,Loc Pick Seq,Ordered Sku - Size,Du Build Failed,Seen In Order Message,Op Rsvn Order Pass Complete,Pick Stock Expectation State,Order - Pick Qty,Ordered Sku - Perishable,Order - Vas,Order - Vip
="1","284726171-1-000001",="284726171","231356F12402004","231356F12402004",2024-03-23 02:05:48,"RESERVED",2024-03-23 08:11:27,1,"LS00212848",="0000169319","","PT-000378436",2024-03-23 08:26:43,="375761","LOW","3H03A709",,"3H03A709","PICK",false,,false,false,"UNUSED","","Aj591 Pink",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,1419782,="9",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284717131-1-000001",="284717131","232214F06901203","232214F06901203",2024-03-23 02:06:51,"RESERVED",2024-03-23 08:11:29,1,"LS00191053",="0000169326","","PT-000378496",2024-03-23 08:57:48,="337628","LOW","3R17J224",,"3R17J224","PICK",false,,false,false,"UNUSED","","Conduct (Washed Blac",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,1524777,="26",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284726411-1-000001",="284726411","241161F09701603","241161F09701603",2024-03-23 02:10:48,"RESERVED",2024-03-23 08:11:35,1,"LS00186945",="0000169329","","PT-000378497",2024-03-23 08:58:27,="331019","LOW","3R23B218",,"3R23B218","PICK",false,,false,false,"UNUSED","","Jet Black",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,1969-12-31 19:00:36,1528718,"M",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284726561-1-000001",="284726561","241226F11800312","241226F11800312",2024-03-23 02:10:48,"RESERVED",2024-03-23 08:11:38,1,"LS00217226",="0000169335","","PT-000378656",2024-03-23 10:26:46,="418469","LOW","3H22B819",,"3H22B819","PICK",false,,false,false,"UNUSED","","BLA BLACK",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,1425138,="39.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284726521-1-000001",="284726521","241226F11800304","241226F11800304",2024-03-23 02:10:50,"RESERVED",2024-03-23 08:11:38,1,"LS00214679",="0000169333","","PT-000378657",2024-03-23 10:26:46,="393095","LOW","3H11B805",,"3H11B805","PICK",false,,false,false,"UNUSED","","BLA BLACK",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,1426112,="40",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284726571-1-000001",="284726571","241264M23702204","241264M23702204",2024-03-23 02:10:52,"RESERVED",2024-03-23 08:11:37,1,"LS00220688",="0000169336","","PT-000378633",2024-03-23 10:20:22,="449501","LOW","3H39A521",,"3H39A521","PICK",false,,false,false,"UNUSED","","WHITE/BLACK/GREY",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,1969-12-31 19:00:36,1415613,="43",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284717361-1-000001",="284717361","241011F12804502","241011F12804502",2024-03-23 02:11:47,"RESERVED",2024-03-23 08:11:32,1,"LS00213305",="0000169345","","PT-000378436",2024-03-23 08:26:43,="379290","LOW","3H04C701",,"3H04C701","PICK",false,,false,false,"UNUSED","","White",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,,1419702,"US 7.5 Wom",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284717401-1-000001",="284717401","232837F12802509","232837F12802509",2024-03-23 02:11:48,"RESERVED",2024-03-23 08:11:33,1,"LS00173715",="0000169348","","PT-000378670",2024-03-23 10:40:14,="282728","LOW","3H13C310",,"3H13C310","PICK",false,,false,false,"UNUSED","","Metal/Gray Flannel/C",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 15:00:00,,141377,="9.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284717281-1-000001",="284717281","241730F04802000","241730F04802000",2024-03-23 02:11:48,"RESERVED",2024-03-23 08:11:37,1,"LS00220866",="0000169342","","PT-000378625",2024-03-23 10:17:51,="450928","LOW","3H39C719",,"3H39C719","PICK",false,,false,false,"UNUSED","","16 Matte Black",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,1969-12-31 19:00:36,1423356,"UNI",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284717301-1-000001",="284717301","241011M23707000","241011M23707000",2024-03-23 02:11:48,"RESERVED",2024-03-23 08:11:32,1,"LS00153886",="0000169343","","PT-000378588",2024-03-23 09:49:37,="231211","LOW","3H49C408",,"3H49C408","PICK",false,,false,false,"UNUSED","","BLACK/BLACK",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,1969-12-31 19:00:36,146999,="7",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284717491-1-000001",="284717491","241088M18608000","241088M18608000",2024-03-23 02:11:49,"RESERVED",2024-03-23 08:11:36,1,"LS00072459",="0000169350","","PT-000378590",2024-03-23 09:50:46,="54755","LOW","3F44B106",,"3F44B106","PICK",false,,false,false,"UNUSED","","black",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,1333024,="28",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284717591-1-000001",="284717591","231553F09504403","231553F09504403",2024-03-23 02:11:52,"RESERVED",2024-03-23 08:11:29,1,"LS00080171",="0000169351","","PT-000378638",2024-03-23 10:20:33,="73440","LOW","3F55D133",,"3F55D133","PICK",false,,false,false,"UNUSED","","710 Light Orange",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,1341876,="38",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284717461-1-000001",="284717461","241886F12801502","241886F12801502",2024-03-23 02:11:52,"RESERVED",2024-03-23 08:11:32,1,"LS00214795",="0000169349","","PT-000378455",2024-03-23 08:33:14,="394220","LOW","3H12A502",,"3H12A502","PICK",false,,false,false,"UNUSED","","Green",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,1969-12-31 19:00:36,1412733,="37",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284717681-1-000001",="284717681","232020F11002501","232020F11002501",2024-03-23 02:11:54,"RESERVED",2024-03-23 08:11:30,1,"LS00058158",="0000169355","","PT-000378504",2024-03-23 09:03:55,="25729","LOW","3F21H204",,"3F21H204","PICK",false,,false,false,"UNUSED","","BG10",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,1315676,"S",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284717391-1-000001",="284717391","241610F12803502","241610F12803502",2024-03-23 02:11:55,"RESERVED",2024-03-23 08:11:33,1,"LS00174037",="0000169347","","PT-000378449",2024-03-23 08:32:14,="286796","LOW","3H17C422",,"3H17C422","PICK",false,,false,false,"UNUSED","","Extra White/Matcha",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 18:00:00,1969-12-31 19:00:36,1410020,="37",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284717721-1-000001",="284717721","241092F12804203","241092F12804203",2024-03-23 02:11:56,"RESERVED",2024-03-23 08:11:38,1,"LS00213103",="0000169357","","PT-000378671",2024-03-23 10:40:14,="377676","LOW","3H04A613",,"3H04A613","PICK",false,,false,false,"UNUSED","","Black/Carbon",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,,1419229,"US 7 Women",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284717711-1-000001",="284717711","241003M23705209","241003M23705209",2024-03-23 02:11:57,"RESERVED",2024-03-23 08:11:37,1,"LS00173451",="0000169356","","PT-000378598",2024-03-23 09:57:20,="279685","LOW","3H11C401",,"3H11C401","PICK",false,,false,false,"UNUSED","","GRAFITE/NERO",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 17:00:00,1969-12-31 19:00:36,1410598,="43",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284726381-1-000001",="284726381","232013M69000701","232013M69000701",2024-03-23 02:14:44,"RESERVED",2024-03-23 08:11:31,1,"LS00130519",="0000169363","","PT-000378649",2024-03-23 10:22:01,="184795","LOW","2E63B109",,"2E63B109","PICK",false,,false,false,"UNUSED","","CREME BONTON",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-24 15:00:00,1969-12-31 19:00:36,941772,"1M",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284726811-1-000001",="284726811","222381M15802300","222381M15802300",2024-03-23 02:20:47,"RESERVED",2024-03-23 08:11:37,1,"LS00079653",="0000169367","","PT-000378459",2024-03-23 08:33:15,="72122","LOW","3F54F130",,"3F54F130","PICK",false,,false,false,"UNUSED","","825 ORANGE",,"","","","","","","NORMAL","LOOSE STOCK","Pick has a PSS Problem",false,2024-03-24 17:00:00,,1341990,"UNI",false,true,false,"UNUSED",2,"NO","NO","NO"
