Order Line Id,Pick Id,Order,Sku,Prod,Create Time,Pick State,State Change Time,Qty,Tm,Du,Unique Ref,Pick Task,Pick Task - Create Time,Stock,Order - Priority Band,Location,Lot,Tm - Location - Id,Pick Type,Emergency,Order Line Placed Time,Abandon Requested,Cancel Requested,Pick State Before Abandon Or Cancel,Packing Instructions,Prod - Colour,Retail Price,Currency,Host Delivery Id,Abandon Reason,Abandon Note,Cancel Reason,Unpick Reason,Rsvn Type,Pick Tm Type,Alert Str,Hazardous,Priority Time,Pick Time,Loc Pick Seq,Ordered Sku - Size,Du Build Failed,Seen In Order Message,Op Rsvn Order Pass Complete,Pick Stock Expectation State,Order - Pick Qty,Ordered Sku - Perishable,Order - Vas,Order - Vip
="1","284727001-1-000001",="284727001","241482M21302106","241482M21302106",2024-03-23 02:20:48,"RESERVED",2024-03-23 08:11:37,1,"LS00135404",="0000169372","","PT-000380078",2024-03-24 16:42:04,="194187","URGENT","2E59E128",,"2E59E128","PICK",false,,false,false,"UNUSED","","BLACK/001",,"","","","","","","NORMAL","LOOSE STOCK","Pick has a PSS Problem",false,2024-03-24 15:00:00,,940333,"XXL",false,true,false,"UNUSED",2,"NO","NO","NO"
="2","284727001-2-000002",="284727001","241161M21301400","241161M21301400",2024-03-23 02:20:48,"RESERVED",2024-03-24 16:44:12,1,"LS00223283",="0000169372","","PT-000380071",2024-03-24 16:40:58,="283508","URGENT","3R11C207",,"3R11C207","PICK",false,,false,false,"UNUSED","","Seal",,"","","","","","","NORMAL","LOOSE STOCK","Pick has a PSS Problem",false,2024-03-24 15:00:00,1969-12-31 19:00:36,1519719,"XXS",false,true,false,"UNUSED",2,"NO","NO","NO"
="1","284796011-1-000001",="284796011","241168F11800205","241168F11800205",2024-03-24 02:10:52,"RESERVED",2024-03-24 02:11:30,1,"LS00213054",="0000175220","","PT-000379791",2024-03-24 12:57:52,="377232","LOW","3H03C812",,"3H03C812","PICK",false,,false,false,"UNUSED","","T8013",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 15:00:00,1969-12-31 19:00:36,1426949,="37.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796831-1-000001",="284796831","231140F12100302","231140F12100302",2024-03-24 02:20:51,"RESERVED",2024-03-24 02:22:11,1,"LS00172876",="0000175268","","PT-000379763",2024-03-24 12:43:18,="273581","LOW","3H05C403",,"3H05C403","PICK",false,,false,false,"UNUSED","","6208 BRED",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,1969-12-31 19:00:36,1411304,="35",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284796761-1-000001",="284796761","241356F12400001","241356F12400001",2024-03-24 02:20:57,"RESERVED",2024-03-24 02:21:58,1,"LS00213148",="0000175264","","PT-000379745",2024-03-24 12:26:15,="377936","LOW","3H04A812",,"3H04A812","PICK",false,,false,false,"UNUSED","","AS383 Black",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,1969-12-31 19:00:36,1426937,="6",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284798121-1-000001",="284798121","241011M23703902","241011M23703902",2024-03-24 02:50:47,"RESERVED",2024-03-24 02:51:54,1,"LS00219856",="0000175313","","PT-000379850",2024-03-24 13:44:08,="441406","LOW","3H33C718",,"3H33C718","PICK",false,,false,false,"UNUSED","","UNIVERSITY GOLD/UNIV",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 18:00:00,,1422658,="8",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284797881-1-000001",="284797881","241751M23705909","241751M23705909",2024-03-24 02:55:48,"RESERVED",2024-03-24 16:20:48,1,"LS00172869",="0000175317","","PT-000379979",2024-03-24 16:02:07,="268838","LOW","3H05C320",,"3H05C320","PICK",false,,false,false,"UNUSED","","collegiate green / p",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 15:00:00,,140503,="10.5",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284798301-1-000001",="284798301","241646F04800000","241646F04800000",2024-03-24 03:00:49,"RESERVED",2024-03-24 03:01:55,1,"LS00212364",="0000175326","","PT-000380040",2024-03-24 16:22:48,="264231","LOW","3H01A619",,"3H01A619","PICK",false,,false,false,"UNUSED","","BK999 Black",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 18:00:00,,1419320,"UNI",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284798901-1-000001",="284798901","241402F12817404","241402F12817404",2024-03-24 03:15:43,"RESERVED",2024-03-24 03:16:55,1,"LS00172359",="0000175353","","PT-000379943",2024-03-24 14:58:04,="111549","LOW","3H02A414",,"3H02A414","PICK",false,,false,false,"UNUSED","","Steel",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,1969-12-31 19:00:36,1411593,"US 7.5 Wom",false,true,false,"UNUSED",1,"NO","NO","NO"
="1","284800191-1-000001",="284800191","241001F04800800","241001F04800800",2024-03-24 03:50:50,"RESERVED",2024-03-24 12:19:35,1,"LS00216849",="0000175402","","PT-000379745",2024-03-24 12:26:15,="415794","LOW","3H21A823",,"3H21A823","PICK",false,,false,false,"UNUSED","","T1003",,"","","","","","","NORMAL","LOOSE STOCK","",false,2024-03-25 17:00:00,1969-12-31 19:00:36,1425160,"UNI",false,true,false,"UNUSED",1,"NO","NO","NO"
